month,MPS_ORTH
2008m3,.1661285963662339
2008m4,-.0615018919659865
2008m5,0
2008m6,-.0533477904153941
2008m7,0
2008m8,.0055198999627911
2008m9,.154661645508479
2008m10,.1820143410279527
2008m11,0
2008m12,-.129721397064867
2009m1,.0280855033033544
2009m2,0
2009m3,-.0272796222818095
2009m4,.0321113719161043
2009m5,0
2009m6,.0541452492468988
2009m7,0
2009m8,.0027845743505999
2009m9,-.0967760211705375
2009m10,0
2009m11,-.0015567320167369
2009m12,.0020170237648137
2010m1,.0641981458222207
2010m2,0
2010m3,-.0195601462325435
2010m4,.0002648868618153
2010m5,0
2010m6,.0302547787533246
2010m7,0
2010m8,-.0067896497552048
2010m9,-.0186123554688507
2010m10,0
2010m11,-.0061169016467172
2010m12,-.0079365093108926
2011m1,-.0091748768265846
2011m2,0
